area_type,availability,location,bhk,total_sqft,bath,balcony,price
Plot  Area,Ready To Move,Roopena Agrahara,2,1200.0,2.0,1.0,100.0
Plot  Area,Ready To Move,CQAL LAYOUT C BLOCK,3,1200.0,3.0,1.0,160.0
Super built-up  Area,Ready To Move,Channasandra Layout,3,1265.0,2.0,1.0,82.0
Built-up  Area,18-May,"Near Electronic City,",4,3200.0,5.0,1.0,150.0
Super built-up  Area,Ready To Move,Virat Nagar,2,1196.0,2.0,2.0,56.81
Built-up  Area,Ready To Move,Kacharakanahalli,3,1850.0,3.0,3.0,98.0
Plot  Area,17-Dec,Bagalakunte,4,2360.0,4.0,2.0,150.0
Super built-up  Area,Ready To Move,Banashankari stage 2,2,1030.0,2.0,1.0,77.25
Super built-up  Area,Ready To Move,Doddanakundi Industrial Area 2,2,1512.0,1.0,2.0,65.01
Super built-up  Area,Ready To Move,OLd Gurappanapalya,3,2000.0,3.0,2.0,160.0
Built-up  Area,20-Dec,"ECC Road, Whitefield,",3,1575.0,3.0,2.0,93.0
Built-up  Area,Ready To Move,Ramanjaneyanagar,3,1300.0,2.0,2.0,70.0
Carpet  Area,Ready To Move,Chikkadunnasandra,2,975.0,2.0,2.0,50.0
Super built-up  Area,Ready To Move,Akshya Nagar,2,1380.0,2.0,1.0,75.0
Super built-up  Area,18-May,Indranagar  100ft road defence colony,5,5800.0,5.0,2.0,80.0
Built-up  Area,Ready To Move,Canara Bank Colony,2,1000.0,2.0,2.0,45.0
Super built-up  Area,Ready To Move,Wajid layout thanisandra,4,3000.0,5.0,2.0,100.0
Super built-up  Area,Ready To Move,B Channasandra,2,1080.0,2.0,1.0,45.0
Plot  Area,Ready To Move,Laxmi Sagar Layout,3,3100.0,3.0,3.0,250.0
Plot  Area,Ready To Move,Achins Road,7,2100.0,7.0,0.0,410.0
Built-up  Area,Ready To Move,Uvce Layout,2,1190.0,2.0,2.0,100.0
Super built-up  Area,Ready To Move,Panduranga Nagar,3,1827.0,3.0,3.0,100.0
Super built-up  Area,Ready To Move,New Thippasandra,3,1500.0,3.0,3.0,95.0
Super built-up  Area,Ready To Move,Gattigere,2,1180.0,2.0,2.0,63.0
Super built-up  Area,18-Jan,Roopena Agrahara,3,1300.0,3.0,2.0,47.0
Built-up  Area,Ready To Move,Kamakshipalya,3,1155.0,2.0,0.0,60.0
Built-up  Area,Ready To Move,Yemlur,4,7000.0,5.0,2.0,2050.0
Super built-up  Area,20-Jan,Badavala Nagar,2,1274.0,2.0,1.0,81.0
Built-up  Area,Ready To Move,Maragondanahalli,3,1540.0,3.0,2.0,68.0
Super built-up  Area,Ready To Move,P&T Layout,2,1206.0,2.0,3.0,38.5
Super built-up  Area,Ready To Move,Basavanna Nagar,3,1645.0,3.0,2.0,95.0
Plot  Area,Ready To Move,Canara Bank Layout,4,1200.0,4.0,2.0,170.0
Plot  Area,Ready To Move,singapura paradise,4,1200.0,4.0,1.0,140.0
Super built-up  Area,Ready To Move,Kannur,3,1200.0,2.0,1.0,55.0
Super built-up  Area,18-Apr,Thirumenahalli,2,1161.0,2.0,2.0,36.69
Super built-up  Area,Ready To Move,Dollars Colony,2,1097.0,2.0,3.0,65.0
Plot  Area,Ready To Move,4th Block Koramangala,4,2400.0,4.0,0.0,550.0
Super built-up  Area,Ready To Move,Defence Colony,4,6600.0,4.0,2.0,986.0
Built-up  Area,Ready To Move,Cambridge Layout,4,1600.0,3.0,1.0,165.0
Built-up  Area,Ready To Move,Byagadadhenahalli,2,620.0,2.0,1.0,22.0
Built-up  Area,Ready To Move,Jayanagar,2,900.0,2.0,2.0,110.0
Built-up  Area,Ready To Move,Sampangi Rama Nagar,2,1200.0,2.0,1.0,125.0
Super built-up  Area,Ready To Move,Jalahalli West,2,1355.0,2.0,3.0,75.0
Super built-up  Area,Ready To Move,BEML Layout 5th stage,3,2000.0,3.0,2.0,85.0
Plot  Area,18-Mar,Hunasamaranahalli,4,7500.0,4.0,2.0,900.0
Super built-up  Area,Ready To Move,Pragathi Nagar,2,1280.0,2.0,1.0,49.75
Built-up  Area,Ready To Move,Ramesh Nagar,2,4200.0,1.0,2.0,160.0
Super built-up  Area,Ready To Move,HAL 2nd Stage,3,1490.0,2.0,2.0,300.0
Plot  Area,Ready To Move,8th block Koramangala,4,1650.0,3.0,1.0,300.0
Super built-up  Area,Ready To Move,Sathya Sai Layout,4,4104.0,4.0,3.0,360.0
Super built-up  Area,18-Apr,Silk Board,2,1215.0,2.0,2.0,49.85
Super built-up  Area,Ready To Move,Puttanahalli,2,1076.0,2.0,2.0,52.0
Plot  Area,Ready To Move,Virat Nagar,2,2080.0,2.0,1.0,150.0
Super built-up  Area,Ready To Move,Kundalahalli Colony,2,1505.0,2.0,2.0,90.0
Plot  Area,Ready To Move,Dwarka Nagar,3,1200.0,3.0,3.0,95.75
Super built-up  Area,Ready To Move,Amblipura,3,1810.0,4.0,3.0,148.0
Super built-up  Area,Ready To Move,Doddagubbi,2,1250.0,2.0,3.0,39.0
Super built-up  Area,Ready To Move,Gopalkrishna Nagar,3,1530.0,2.0,1.0,97.0
Built-up  Area,Ready To Move,Tata Nagar,3,1500.0,3.0,2.0,70.0
Plot  Area,Ready To Move,Sunkadakatte,4,2000.0,5.0,0.0,80.0
Super built-up  Area,18-Mar,Rajarajeshwari nagar,3,1410.0,2.0,2.0,45.12
Super built-up  Area,Ready To Move,Rajarajeshwarinagar,3,2000.0,3.0,2.0,85.0
Plot  Area,Ready To Move,Jinkethimmanahalli,3,1500.0,2.0,1.0,130.0
Super built-up  Area,Ready To Move,Daadys Gaarden Layout,3,1600.0,3.0,3.0,72.0
Plot  Area,Ready To Move,Vishwapriya Nagar,6,2100.0,6.0,2.0,71.0
Super built-up  Area,Ready To Move,Vimanapura,3,2500.0,3.0,3.0,75.0
Super built-up  Area,Ready To Move,Dodsworth Layout,2,1400.0,2.0,2.0,80.0
Super built-up  Area,Ready To Move,Sector 1 HSR Layout,3,1533.0,3.0,2.0,150.0
Super built-up  Area,Ready To Move,Amarjyothi Colony,2,1100.0,2.0,2.0,38.0
Plot  Area,Ready To Move,MS Pallya,8,2400.0,9.0,3.0,350.0
Super built-up  Area,Ready To Move,Jalahalli West,2,745.0,2.0,0.0,50.0
Built-up  Area,Ready To Move,Devasthanagalu,3,1460.0,3.0,2.0,70.0
Super built-up  Area,19-Jul,Yemlur,2,1355.0,2.0,1.0,95.0
Super built-up  Area,Ready To Move,Avalahalli,1,833.0,1.0,1.0,49.0
Plot  Area,Ready To Move,Cambridge Layout,5,1750.0,5.0,1.0,450.0
Plot  Area,Ready To Move,Doddanekundi,4,3250.0,5.0,1.0,850.0
Super built-up  Area,Ready To Move,Vasantapura main road,2,1037.0,2.0,1.0,36.28
Super built-up  Area,Ready To Move,Sector 6 HSR Layout,4,3000.0,5.0,2.0,270.0
Built-up  Area,Ready To Move,Basavanapura,2,1220.0,2.0,2.0,68.0
Plot  Area,Ready To Move,CQAL Layout,4,3811.0,3.0,2.0,475.0
Plot  Area,Ready To Move,Mathikere,3,1095.0,3.0,0.0,215.0
Super built-up  Area,Ready To Move,Venugopal Reddy Layout,3,1545.0,3.0,3.0,85.0
Super built-up  Area,Ready To Move,BEML Layout,3,2000.0,2.0,2.0,85.0
Built-up  Area,Ready To Move,Lake City,2,780.0,2.0,1.0,35.0
Plot  Area,Ready To Move,Lakshmipura,2,1350.0,2.0,1.0,110.0
Super built-up  Area,Ready To Move,Pragathi Nagar,2,1350.0,2.0,2.0,41.0
Super built-up  Area,Ready To Move,Vijaya Bank Layout,3,1200.0,2.0,1.0,68.0
Super built-up  Area,20-Jan,Badavala Nagar,3,1842.0,3.0,2.0,115.0
Super built-up  Area,18-Aug,Hongasandra,2,1150.0,2.0,2.0,49.0
Plot  Area,Ready To Move,Maruthi Extension,5,2000.0,4.0,2.0,180.0
Super built-up  Area,Ready To Move,S R Layout,2,1096.0,2.0,2.0,48.0
Super built-up  Area,Ready To Move,GD Layout,2,1094.0,2.0,1.0,44.0
Super built-up  Area,Ready To Move,Vittal Nagar,2,1100.0,2.0,2.0,49.0
Built-up  Area,Ready To Move,Maruthi Sevanagar,4,1280.0,4.0,1.0,115.0
Plot  Area,Ready To Move,RMV 2nd Stage,3,4470.0,3.0,2.0,700.0
Plot  Area,Ready To Move,Shirdi Sai Nagar,3,1200.0,3.0,0.0,85.0
Super built-up  Area,Ready To Move,Hagadur,2,1086.0,2.0,1.0,47.5
Super built-up  Area,Ready To Move,Wilson Garden,3,1655.0,3.0,2.0,155.0
Super built-up  Area,19-Jan,"JP Nagar 7th Phase,",2,1150.0,2.0,1.0,74.0
Built-up  Area,Ready To Move,Raghuvanahalli,3,1440.0,3.0,2.0,65.8
Plot  Area,Ready To Move,J C Nagar,3,1200.0,2.0,0.0,108.0
Super built-up  Area,Ready To Move,Sadduguntepalya,2,1200.0,2.0,2.0,75.0
Super built-up  Area,Ready To Move,Vishwapriya Layout,2,1235.0,2.0,2.0,60.0
Built-up  Area,Ready To Move,Mallathahalli,3,1225.0,3.0,3.0,60.0
Built-up  Area,Ready To Move,Doddakammanahalli,3,1550.0,2.0,1.0,60.0
Super built-up  Area,Ready To Move,HMT Layout,3,1650.0,3.0,2.0,75.0
Built-up  Area,Ready To Move,Chikkathoguru,2,1113.0,2.0,2.0,46.0
Plot  Area,Ready To Move,BEL Road,2,1500.0,2.0,0.0,203.0
Super built-up  Area,Ready To Move,Kodigehalli,2,1200.0,2.0,2.0,48.0
Plot  Area,Ready To Move,Bidrahalli,3,1800.0,2.0,0.0,72.0
Plot  Area,Ready To Move,Medi Agrahara,4,1350.0,4.0,2.0,85.0
Carpet  Area,Ready To Move,4th Block Koramangala,9,4500.0,9.0,2.0,500.0
Super built-up  Area,20-Dec,whitefiled,2,935.0,2.0,1.0,32.73
Plot  Area,Ready To Move,Subbannaiah Palya,2,600.0,3.0,2.0,85.0
Built-up  Area,Ready To Move,Vadarpalya,5,2500.0,5.0,2.0,120.0
Built-up  Area,Ready To Move,Richards Town,3,1550.0,3.0,2.0,160.0
Built-up  Area,Ready To Move,Manorayana Palya,2,1140.0,2.0,2.0,52.0
Carpet  Area,Ready To Move,BCC Layout,2,1050.0,2.0,3.0,40.0
Plot  Area,Ready To Move,Jeevan bima nagar,3,1705.0,2.0,1.0,290.0
Built-up  Area,Ready To Move,Vinayak Nagar,3,1758.0,3.0,2.0,95.0
Super built-up  Area,18-Dec,Gopalapura,4,3179.0,5.0,3.0,351.0
Super built-up  Area,Ready To Move,Kada Agrahara,3,909.0,2.0,1.0,40.0
Built-up  Area,Ready To Move,Basavanapura,2,1200.0,3.0,0.0,85.0
Plot  Area,Ready To Move,Madanayakahalli,2,1200.0,2.0,1.0,34.0
Plot  Area,Ready To Move,Mahalakshmi Puram,6,2400.0,6.0,2.0,408.0
Plot  Area,Ready To Move,Richmond Town,4,1800.0,5.0,2.0,500.0
Plot  Area,Ready To Move,Mahalakshmi Puram,2,1290.0,1.0,0.0,225.0
Super built-up  Area,19-Jun,Kodigehalli,1,655.0,1.0,1.0,53.0
Built-up  Area,Ready To Move,4th Block Koramangala,3,1800.0,3.0,3.0,140.0
Built-up  Area,Ready To Move,Jaladarsini Layout,2,1000.0,2.0,2.0,48.0
Super built-up  Area,18-May,Basavanapura,2,1095.0,2.0,2.0,38.52
Built-up  Area,19-Mar,4th T block Jayanagar,4,3900.0,4.0,2.0,333.0
Plot  Area,Ready To Move,Attur Layout,3,2400.0,4.0,2.0,200.0
Super built-up  Area,Ready To Move,Basavanna Nagar,3,1645.0,3.0,2.0,87.5
Plot  Area,Ready To Move,A Narayanapura,4,1650.0,4.0,3.0,320.0
Super built-up  Area,Ready To Move,Brooke Bond First Cross,2,1252.0,2.0,2.0,55.0
Super built-up  Area,Ready To Move,Kundalahalli Colony,3,2600.0,3.0,2.0,140.0
Super built-up  Area,Ready To Move,Tasker Town,2,950.0,2.0,1.0,60.0
Built-up  Area,19-Dec,"Hoodi Circle,",4,2107.0,4.0,3.0,95.0
Super built-up  Area,Ready To Move,Glass Factory Layout,3,1450.0,3.0,3.0,68.0
Super built-up  Area,Ready To Move,Raghavendra Nagar,3,2431.0,3.0,1.0,100.0
Plot  Area,Ready To Move,Milk Colony,4,1200.0,4.0,2.0,240.0
Super built-up  Area,Ready To Move,Coffee Board Layout,2,1155.0,2.0,3.0,56.0
Super built-up  Area,18-Aug,Shirdi Sai Layout,2,1450.0,2.0,3.0,62.63
Super built-up  Area,Ready To Move,Near ullas theater,3,1900.0,3.0,2.0,205.0
Built-up  Area,Ready To Move,Amruthnagar,2,1365.0,3.0,2.0,60.0
Super built-up  Area,Ready To Move,Chikkakannalli,3,1402.0,2.0,2.0,85.0
Built-up  Area,Ready To Move,Bhuvaneswari Nagar,3,1550.0,3.0,1.0,75.0
Super built-up  Area,Ready To Move,Yeshwanthpur Industrial Suburb,3,2100.0,3.0,2.0,240.0
Plot  Area,Ready To Move,Nandi Hills,4,5000.0,4.0,2.0,290.0
Super built-up  Area,19-Dec,Thanisandra main road,2,1804.0,2.0,1.0,285.0
Super built-up  Area,Ready To Move,Rajarajeshwari nagar,3,2000.0,3.0,2.0,85.0
Super built-up  Area,Ready To Move,Ashirvad Colony,2,1100.0,2.0,1.0,45.0
Plot  Area,Ready To Move,SMV layout,3,1200.0,3.0,0.0,140.0
Built-up  Area,Ready To Move,Peenya,2,814.0,2.0,1.0,55.0
Built-up  Area,Ready To Move,Saptagiri Layout,2,1100.0,2.0,2.0,44.0
Plot  Area,Ready To Move,Vijaya Bank Layout,5,2400.0,5.0,2.0,400.0
Super built-up  Area,Ready To Move,Doddabanahalli,2,830.0,2.0,2.0,37.0
Super built-up  Area,Ready To Move,Mathikere,3,1590.0,3.0,0.0,120.0
Built-up  Area,18-May,Vijayabank bank layout,2,1100.0,2.0,1.0,48.0
Super built-up  Area,Ready To Move,Ramanjaneyanagar,3,1230.0,2.0,2.0,53.51
Super built-up  Area,18-Oct,6th block Koramangala,3,1450.0,2.0,3.0,89.6
Super built-up  Area,Ready To Move,D Group Employees Layout,4,1200.0,4.0,1.0,230.0
Built-up  Area,Ready To Move,Tala Cauvery Layout,2,1340.0,2.0,3.0,77.0
Plot  Area,18-May,Yemlur,8,12000.0,9.0,2.0,1900.0
Built-up  Area,Ready To Move,Basavanapura,2,1135.0,2.0,2.0,32.91
Built-up  Area,Ready To Move,"Whitefield,",3,1745.0,3.0,2.0,77.0
Super built-up  Area,Ready To Move,Kempegowda Nagar,3,1665.0,3.0,2.0,105.0
Super built-up  Area,17-Dec,Bellari Road,2,1220.0,2.0,2.0,48.79
Plot  Area,Ready To Move,Vaderahalli,4,2300.0,4.0,2.0,200.0
Super built-up  Area,20-Dec,Akshayanagara East,2,1210.0,2.0,1.0,76.0
Super built-up  Area,Ready To Move,Mallathahalli,2,1100.0,2.0,1.0,46.0
Built-up  Area,18-Apr,Peenya,3,1286.0,3.0,1.0,67.0
Built-up  Area,Ready To Move,Samethanahalli,2,1141.0,2.0,2.0,40.0
Plot  Area,Ready To Move,4th Phase JP Nagar,5,2250.0,5.0,1.0,360.0
Carpet  Area,Ready To Move,K R C kothanur,2,1140.0,2.0,3.0,45.0
Super built-up  Area,Ready To Move,Nyanappana Halli,2,1065.0,2.0,1.0,58.0
Super built-up  Area,Ready To Move,Kengeri Hobli,3,1082.0,2.0,0.0,42.0
Super built-up  Area,18-May,Maithri Layout,2,1290.0,2.0,3.0,40.63
Built-up  Area,Ready To Move,"Sarjapur Road,",3,1636.0,3.0,2.0,97.0
Super built-up  Area,Ready To Move,Richards Town,4,3600.0,4.0,3.0,450.0
Super built-up  Area,Ready To Move,Badavala Nagar,3,1494.0,2.0,2.0,94.55
Built-up  Area,Ready To Move,Vignana Nagar,3,1450.0,3.0,3.0,42.0
Super built-up  Area,18-Apr,Sai Gardens,2,1120.0,2.0,2.0,40.0
Plot  Area,18-Feb,Nelamangala,3,1200.0,3.0,2.0,72.0
Plot  Area,Ready To Move,Singanayakanahalli,3,1500.0,2.0,0.0,65.0
Super built-up  Area,Ready To Move,Attur Layout,6,3000.0,8.0,2.0,90.0
Plot  Area,Ready To Move,SBM Colony,3,1350.0,2.0,2.0,280.0
Super built-up  Area,Ready To Move,Vignana Nagar,2,1100.0,2.0,2.0,47.0
Plot  Area,Ready To Move,Udaya Nagar,2,1000.0,1.0,1.0,75.0
Super built-up  Area,Ready To Move,Suraksha Nagar,3,1388.0,3.0,3.0,69.99
Super built-up  Area,Ready To Move,VGP Layout,2,1176.0,2.0,2.0,44.0
Plot  Area,Ready To Move,5th Block Hbr Layout,4,1200.0,4.0,2.0,205.0
Plot  Area,Ready To Move,Vaishnavi Layout,4,4830.0,5.0,1.0,390.0
Built-up  Area,Ready To Move,Cottonpet,2,850.0,2.0,1.0,75.0
Carpet  Area,Ready To Move,Naganathapura,2,1103.0,2.0,1.0,55.0
Built-up  Area,Ready To Move,Vimanapura,3,1600.0,3.0,1.0,64.0
Built-up  Area,Ready To Move,Seetharampalya,2,1100.0,2.0,1.0,55.0
Super built-up  Area,Ready To Move,Kundalahalli Colony,3,2065.0,3.0,2.0,130.0
Built-up  Area,Ready To Move,Defence Colony,2,1150.0,2.0,2.0,125.0
Super built-up  Area,Ready To Move,Thomas Town,2,1250.0,2.0,2.0,59.0
Built-up  Area,Ready To Move,Pragathi Nagar,2,1115.0,2.0,0.0,46.0
Built-up  Area,Ready To Move,RMV 2nd Stage,3,2550.0,4.0,2.0,290.0
Super built-up  Area,Ready To Move,Shampura,2,700.0,1.0,2.0,35.0
Built-up  Area,Ready To Move,Venkatapura,4,3080.0,2.0,1.0,285.0
Carpet  Area,Ready To Move,Venugopal Reddy Layout,2,1130.0,2.0,1.0,52.0
Super built-up  Area,Ready To Move,4th Block Koramangala,4,3400.0,6.0,2.0,420.0
Super built-up  Area,Ready To Move,Kuvempu Nagar,1,450.0,1.0,1.0,25.0
Super built-up  Area,Ready To Move,Cleveland Town,2,1100.0,2.0,1.0,85.0
Super built-up  Area,18-Aug,Indra Nagar,3,1550.0,3.0,2.0,258.0
Super built-up  Area,18-Apr,Peenya,2,966.0,2.0,1.0,49.0
Plot  Area,Ready To Move,Bagalur Main Road,5,4400.0,4.0,1.0,350.0
Built-up  Area,Ready To Move,3rd Phase JP Nagar,3,1550.0,2.0,2.0,79.0
Super built-up  Area,Ready To Move,Basapura,3,1540.0,2.0,2.0,70.0
Super built-up  Area,Ready To Move,Jayanagar,2,1036.0,2.0,2.0,110.0
Super built-up  Area,18-Aug,4th Phase JP Nagar,2,1070.0,2.0,2.0,38.9
Super built-up  Area,Ready To Move,kanakapura main road,2,1041.0,2.0,1.0,36.44
Built-up  Area,Ready To Move,Shampura,3,1400.0,3.0,1.0,70.0
Plot  Area,Ready To Move,Nagaraja Garden,4,1376.0,4.0,1.0,156.0
Carpet  Area,Ready To Move,Mathikere,3,1150.0,2.0,0.0,60.0
Super built-up  Area,Ready To Move,Reliaable Tranquil Layout,3,1508.0,3.0,1.0,75.0
Super built-up  Area,Ready To Move,Vignana Nagar,2,1110.0,2.0,2.0,58.0
Super built-up  Area,Ready To Move,Lottegolla Halli,3,1950.0,3.0,2.0,90.0
Super built-up  Area,18-May,Devanahalli Int. Airport,2,1080.0,2.0,1.0,62.0
Super built-up  Area,19-Jan,Mailasandra,2,999.0,2.0,1.0,43.66
Super built-up  Area,Ready To Move,Chelekare,2,1180.0,2.0,2.0,40.0
Plot  Area,Ready To Move,8th Block Jayanagar,2,2800.0,2.0,0.0,650.0
Super built-up  Area,Ready To Move,Atmananda Colony,2,1127.0,2.0,2.0,55.0
Built-up  Area,Ready To Move,Doopanahalli,3,1475.0,2.0,1.0,200.0
Plot  Area,Ready To Move,Baba Nagar,3,1200.0,3.0,3.0,96.25
Super built-up  Area,Ready To Move,Nagadevanahalli,3,1250.0,2.0,2.0,65.0
Super built-up  Area,Ready To Move,Byatarayanapura,4,2631.0,3.0,2.0,200.0
Built-up  Area,Ready To Move,Mahalakshmi Puram,2,830.0,2.0,1.0,60.0
Super built-up  Area,Ready To Move,Badrappa Layout,2,1500.0,2.0,2.0,88.0
Built-up  Area,18-Dec,"Off Sarjapur Road,",3,1518.0,3.0,2.0,76.0
Built-up  Area,18-Jan,Lal Bahadur Shastri Nagar,2,856.0,2.0,1.0,48.0
Super built-up  Area,Ready To Move,Naganathapura,2,1143.0,2.0,1.0,62.0
Super built-up  Area,Ready To Move,Volagerekallahalli,2,1070.0,2.0,2.0,33.15
Built-up  Area,Ready To Move,6th block Koramangala,2,1117.0,2.0,1.0,110.0
Super built-up  Area,Ready To Move,Venkatadri Layout,1,600.0,1.0,1.0,43.0
Built-up  Area,Ready To Move,HMT Layout,4,7500.0,4.0,2.0,425.0
Built-up  Area,Ready To Move,Shantiniketan Layout,2,925.0,2.0,2.0,48.0
Super built-up  Area,Ready To Move,Baba Nagar,2,1100.0,2.0,2.0,52.0
Plot  Area,Ready To Move,Kurubarahalli,3,1200.0,3.0,0.0,70.0
Super built-up  Area,Ready To Move,HAL 2nd Stage,3,2100.0,3.0,2.0,252.0
Built-up  Area,Ready To Move,Puttappa Layout,4,2675.0,4.0,2.0,290.0
Built-up  Area,Ready To Move,"Ananthanagar Phase 1,Electronic City , phase 2",2,1016.0,2.0,1.0,45.9
Super built-up  Area,Ready To Move,Ngef Layout,3,1800.0,3.0,2.0,88.0
Super built-up  Area,Ready To Move,Kattigenahalli,2,1062.0,2.0,2.0,47.0
Built-up  Area,Ready To Move,Doddakannelli,3,1477.0,2.0,2.0,80.0
Super built-up  Area,Ready To Move,Byadarahalli,4,3500.0,5.0,2.0,450.0
Super built-up  Area,Ready To Move,Doddabommasandra,9,42000.0,8.0,3.0,175.0
Plot  Area,Ready To Move,4th T block Jayanagar,4,2080.0,4.0,2.0,440.0
Super built-up  Area,Ready To Move,Kempegowda Nagar,3,1793.0,3.0,2.0,98.0
Super built-up  Area,Ready To Move,Bethel Nagar,2,960.0,2.0,1.0,33.0
Super built-up  Area,Ready To Move,Byagadadhenahalli,2,620.0,2.0,1.0,23.0
Built-up  Area,Ready To Move,Kirloskar Layout,3,1400.0,3.0,2.0,35.0
Plot  Area,18-Apr,tc.palya,2,1020.0,2.0,1.0,62.0
Super built-up  Area,Ready To Move,Dollar Scheme Colony,4,3563.0,6.0,1.0,310.0
Super built-up  Area,Ready To Move,Konanakunte Cross,2,1165.0,2.0,2.0,47.0
Super built-up  Area,Ready To Move,Omarbagh Layout,4,3300.0,5.0,3.0,318.0
Plot  Area,Ready To Move,anjananager magdi road,3,1200.0,3.0,1.0,165.0
Plot  Area,Ready To Move,Kodipalya,4,1440.0,4.0,0.0,88.0
Super built-up  Area,Ready To Move,Aishwarya Crystal Layout,3,2250.0,3.0,1.0,113.0
Super built-up  Area,18-May,Madiwala,3,1250.0,3.0,2.0,43.0
Super built-up  Area,Ready To Move,2nd Block Jayanagar,3,1718.0,3.0,3.0,223.0
Plot  Area,Ready To Move,Syndicate Bank Colony,4,1500.0,4.0,3.0,240.0
Super built-up  Area,Ready To Move,CQAL Layout,3,1200.0,2.0,2.0,75.0
Super built-up  Area,Ready To Move,Nayandanahalli,2,985.0,2.0,1.0,55.0
Super built-up  Area,Ready To Move,Vijaya Bank Layout,3,1700.0,2.0,2.0,68.5
Super built-up  Area,Ready To Move,Varanasi,5,2000.0,4.0,1.0,99.0
Super built-up  Area,Ready To Move,DUO Layout,3,1643.0,3.0,2.0,75.0
Built-up  Area,Ready To Move,Daadys Gaarden Layout,3,1740.0,3.0,2.0,55.0
Super built-up  Area,18-Mar,Srinivas Colony,3,4400.0,3.0,1.0,901.0
Plot  Area,Ready To Move,Vishveshwarya Layout,1,750.0,1.0,1.0,30.0
Built-up  Area,Ready To Move,Sampangi Rama Nagar,2,1030.0,2.0,2.0,80.0
Super built-up  Area,Ready To Move,BTM 1st Stage,3,1852.0,2.0,2.0,95.0
Built-up  Area,18-Mar,Moodalapalya,2,1150.0,2.0,2.0,69.0
Built-up  Area,Ready To Move,Nelamangala,4,2600.0,3.0,1.0,95.0
Built-up  Area,Ready To Move,Nayandanahalli,3,1350.0,2.0,3.0,68.0
Super built-up  Area,Ready To Move,Gokaula Extension,3,1500.0,2.0,1.0,90.0
Plot  Area,Ready To Move,Subash Nagar,2,900.0,2.0,0.0,55.0
Built-up  Area,Ready To Move,Vishveshwarya Layout,4,2000.0,4.0,1.0,75.0
Built-up  Area,Ready To Move,Pattanagere,2,850.0,2.0,0.0,35.0
Super built-up  Area,Ready To Move,ISRO Layout,3,1310.0,2.0,3.0,68.0
Plot  Area,18-May,RTO ullalu,2,600.0,4.0,1.0,110.0
Super built-up  Area,Ready To Move,Austin Town,2,1250.0,2.0,1.0,60.0
Super built-up  Area,19-Oct,Carmelaram,2,970.0,2.0,2.0,35.0
Built-up  Area,Ready To Move,Doddanekundi,2,1148.0,2.0,1.0,59.0
Built-up  Area,Ready To Move,Cottonpet,4,1750.0,2.0,1.0,225.0
Built-up  Area,Ready To Move,Shikaripalya,3,1350.0,3.0,1.0,60.0
Built-up  Area,Ready To Move,Hennur Bande,2,1100.0,2.0,1.0,78.0
Plot  Area,Ready To Move,"ravindra nagar, T.dasarahalli peenya",2,1180.0,2.0,2.0,74.0
Built-up  Area,Ready To Move,Rajankunte,3,4510.0,4.0,3.0,200.0
Super built-up  Area,Ready To Move,1st Block BEL Layout,3,1540.0,3.0,2.0,85.0
Super built-up  Area,19-Dec,Kodathi,3,1033.0,2.0,2.0,31.5
Super built-up  Area,Ready To Move,Richards Town,3,1800.0,3.0,0.0,230.0
Super built-up  Area,Ready To Move,Anantapura,2,1200.0,2.0,2.0,37.0
Super built-up  Area,Ready To Move,Hosahalli Extension,3,2000.0,3.0,2.0,120.0
Built-up  Area,18-Jul,Bennigana Halli,3,2000.0,3.0,1.0,145.0
Super built-up  Area,Ready To Move,Makali,1,500.0,1.0,1.0,15.0
Super built-up  Area,Ready To Move,Seethappa Layout,2,850.0,2.0,1.0,42.0
Built-up  Area,18-Dec,Huskur,2,1165.0,2.0,1.0,33.64
Built-up  Area,Ready To Move,Shampura,3,1475.0,3.0,3.0,78.0
Plot  Area,Ready To Move,Singapura Village,4,2230.0,4.0,1.0,130.0
Plot  Area,Ready To Move,Jnanabharathi Layout,4,2200.0,5.0,1.0,100.0
Super built-up  Area,Ready To Move,Akshayanagara East,3,1519.0,3.0,2.0,67.23
Super built-up  Area,20-Jul,Langford Gardens,3,2777.29,5.0,2.0,650.0
Built-up  Area,18-Dec,"Bellandur,",4,3160.0,4.0,3.0,206.0
Plot  Area,18-Apr,2nd Block Jayanagar,4,4920.0,5.0,2.0,1150.0
Plot  Area,Ready To Move,Ejipura,2,922.0,2.0,1.0,70.0
Built-up  Area,Ready To Move,Victoria Layout,2,850.0,2.0,1.0,72.0
Plot  Area,Ready To Move,Attur Layout,2,1200.0,1.0,0.0,65.0
Super built-up  Area,Ready To Move,Shikaripalya,3,1442.0,3.0,2.0,56.24
Super built-up  Area,Ready To Move,Richmond Town,2,1233.0,2.0,3.0,100.0
Super built-up  Area,Ready To Move,5th Block Hbr Layout,2,1312.0,2.0,3.0,69.0
Super built-up  Area,Ready To Move,Marasandra,3,1840.0,3.0,3.0,85.0
Built-up  Area,Ready To Move,Bhuvaneshwari Nagar,2,1100.0,2.0,2.0,57.0
Super built-up  Area,Ready To Move,AGS Layout,2,1040.0,2.0,1.0,46.79
Plot  Area,Ready To Move,Kalkere Channasandra,2,1200.0,2.0,0.0,53.0
Built-up  Area,Ready To Move,Ashirvad Colony,4,2050.0,3.0,1.0,100.0
Super built-up  Area,Ready To Move,Doddabanahalli,2,800.0,2.0,2.0,30.0
Super built-up  Area,Ready To Move,Shakthi Nagar,2,1125.0,2.0,2.0,36.0
